0.75,
0.60,
0.32,
0.20,
0.30,
0.44,
0.19,
0.62,
0.44,
0.19,
0.42,
0.39,
0.36,
1.24,
0.20,
0.17,
0.27,
0.27,
0.38,
0.46,
0.32,
0.23,
0.32,
0.22,
0.87,
0.13,
0.60,
0.27,
0.19,
0.14,
0.07,
0.44,
0.43,
0.44,
0.07,
0.14,
0.19,
0.27,
0.60,
0.13,
0.87,
0.22,
0.32,
0.23,
0.32,
0.46,
0.38,
0.27,
0.27,
0.17,
0.20,
1.24,
0.36,
0.39,
0.42,
0.19,
0.44,
0.62,
0.19,
0.44,
0.30,
0.20,
0.32,
0.60,
